Data_Registro;Tensao_Fase_RS_V;Tensao_Fase_ST_V;Tensao_Fase_TR_V;Corrente_Fase_R_A;Corrente_Fase_S_A;Corrente_Fase_T_A;Demanda_kW;Potencia_Ativa_kW
"2022-07-27 00:00:00";434.5;436.36;439.79;310.93;331.93;339.36;1322.43;-25896.43
"2022-07-28 00:00:00";437.22;438.33;441.39;292.67;315.06;307.61;1385.11;-22750.83
"2022-07-29 00:00:00";440.33;441.52;444.05;256.81;274.33;275.76;1246.95;-19710.38
"2022-08-01 00:00:00";441.54;442.15;445.38;258.38;266.46;262;1202.46;-9802.46
"2022-08-02 00:00:00";437.96;438.74;442.39;268.26;285.09;286.83;1238.61;-7875.52
"2022-08-03 00:00:00";436.57;437.78;441.17;299.91;320.83;320.87;1700.65;-3994.87
"2022-08-04 00:00:00";439.46;439.92;443.38;288.63;299.96;291.71;1473.42;-369.67
"2022-08-05 00:00:00";441.96;442.19;444.88;207.92;213.35;209.85;1105.81;2645.96
"2022-08-06 00:00:00";438.48;439.78;443.52;345.04;374.26;366.91;1750.04;6290.26
"2022-08-07 00:00:00";442.87;444.22;447;276.26;291.43;286.65;1399;9972.83
"2022-08-08 00:00:00";435.9;437.14;440.86;329.05;347.19;343.95;1617.19;13298.57
"2022-08-09 00:00:00";434.88;436.17;439.71;335.38;360.67;348.79;1732.13;17091.96
"2022-08-10 00:00:00";437.87;438.96;442.35;285.91;300.83;292.39;1312.65;20687.26
"2022-08-11 00:00:00";434.43;435.96;439.35;312.57;334.04;329.3;1545.39;24198.3
"2022-08-12 00:00:00";432.48;433.7;438.04;384.39;410.39;407.39;1762.22;28295.35
"2022-08-13 00:00:00";441.3;442.26;444.91;238.04;246.78;240.65;1150.87;3677.57
"2022-08-14 00:00:00";447.09;448.04;450.17;196.22;199.39;189.43;1232;-31075.61
"2022-08-15 00:00:00";436.04;437.39;440.43;276.87;292.22;293.13;1296.04;-28192.52
"2022-08-16 00:00:00";436.13;437.48;440.09;256.17;266.52;259.87;1589.61;-24446.35
"2022-08-17 00:00:00";433.05;434.41;438.23;315.82;329.27;328;1457.55;-20597.36
"2022-08-18 00:00:00";430.78;432.22;436.61;394.26;424.09;410.91;1675.74;-17144.13
"2022-08-19 00:00:00";430.3;431.87;436.26;367.3;395.35;398.83;1902.52;-12705.61
"2022-08-20 00:00:00";439.26;440.39;443.61;256.78;273.3;269.26;1331.43;-8393.39
"2022-08-21 00:00:00";444.29;445.52;448;217.95;224.05;220.76;980.86;-6440.95
"2022-08-22 00:00:00";435.3;436.35;440;285.22;300.52;297;1408.83;-3073.52
"2022-08-23 00:00:00";432.14;433.64;437.41;344.55;362.41;366;1707;579.18
"2022-08-24 00:00:00";432.71;433.96;437.67;346.13;371.25;365.5;1707.63;4774.04
"2022-08-25 00:00:00";436.79;437.32;440.32;224.37;231.11;225.21;1288.74;8131.21
"2022-08-26 00:00:00";438.04;438.35;440.57;167.26;171.57;161.61;786.57;10649.48
"2022-08-27 00:00:00";436.73;437.86;441.32;300.82;317.86;309.59;1486.41;13720.95
"2022-08-28 00:00:00";443.3;444.57;446.65;211.22;215.13;214.52;1042.35;16651
"2022-08-29 00:00:00";440.43;440.7;442.65;116.78;112.22;116.48;470.52;18178.09
"2022-08-30 00:00:00";440.13;440.3;442.57;143.09;139.39;139.91;762.09;19503.74
"2022-08-31 00:00:00";434;435.24;438.76;270.16;283.88;295.4;1286.44;22271.56
